"альбом ","название песни","текст"
"Резонанс, часть 2, 2014","Красота","Бывает так, что жизнь прекрасна

И вся понятна и проста

И ничего не происходит -

И красота !

Мосты зависли над водами

Вода играет у моста

И всё вокруг переменилось -

И красота !

И красота во всём, что движет нами

И красота меж Богом и людьми

И красота, во тьме сверкнув огнями

Спасёт весь мир

Бывает так, что в этой жизни

Не понимаешь ни черта

Ты ни черта не понимаешь -

И красота !

И красота во всём, что движет нами

И красота меж Богом и людьми

И красота, во тьме сверкнув огнями

Спасёт весь мир

"
"Резонанс, часть 2, 2014","Орекстр","Я буду краток. Если что -

Землетрясение или шторм

Или цунами и весь мир вверх дном 

Или смятение в головах -

Я буду краток. В двух словах

Или вообще всего в одном

Или вообще не надо слов

И ветер дул поверх голов 

И люди все склонили головы

Как будто слов никто не знал

Оркестр музыку играл

И разлетались голуби

Вот так, вот так

Вот так оркестр играет в такт

Над домом развевался флаг

И в небе появился враг

И ну давай кружить над городом

Враги несли ему урон

И окружив со всех сторон

Морили город голодом

И город пальцы сжал перстом

Перекрестил себя крестом

Чтоб на себе не дать поставить крест

Мой город сохранил лицо

Прорвал блокадное кольцо

И вновь зовёт к себе оркестр 

Вот так, вот так

Вот так оркестр играет в такт

Пока ты мокнешь под дождём

Сверкают молнии и гром

Пока ты сердцем не совсем остыл

Тебе так много предстоит

Но вот, смотри - прекрасный вид

И новый дом, и сад, и сын

Среди совсем пустых земель

С меня в момент  слетает хмель

Слетает хмель на цифре 37

Теперь я знаю что сказать

Вы остаётесь зимовать

Мы остаёмся насовсем

Оркестр играет сразу всем

Вот так, вот так

Вот так оркестр играет в такт

"
"Резонанс, часть 2, 2014","Песня на одном аккорде","ПРИВЕТ МОЯ ГИТАРА ТЫ ВСЕГДА СО МНОЙ И В РАДОСТИ И В ГОРЕ

Я ВЗЯЛ ГИТАРУ В РУКИ, ПОКУРИЛ И ВОТ ЗАВИС НА ДО-МИНОРЕ

СМОТРИ В ГЛАЗА - ТЫ ВСЁ ПОЙМЁШЬ  ПО ЭТОЙ НАГЛОЙ И НЕБРИТОЙ МОРДЕ

ДАВАЙ С ТОБОЙ СЫГРАЕМ  ЭТУ ПЕСНЮ НА ВСЕГО ОДНОМ АККОРДЕ



Я РОДОМ ИЗ СОВЕТСКОГО СОЮЗА, РОДОМ Я ИЗ ЛЕНИНГРАДА

Я ВЫУЧИЛ ВСЕГО ОДИН АККОРД - ДРУГОГО НА ФИГ МНЕ НЕ НАДО

СМОТРИ В ГЛАЗА - ТЫ ВСЁ ПОЙМЁШЬ ПО ЭТОЙ НАГЛОЙ И НЕБРИТОЙ МОРДЕ

ДАВАЙ С ТОБОЙ СЫГРАЕМ ЭТУ ПЕСНЮ НА ВСЕГО ОДНОМ АККОРДЕ



ПРОЙДУТ ГОДА - НАД ЭТОЙ ПЕСНЕЙ БУДЕТ ВЕСЕЛИТЬСЯ ДАЖЕ НЫТИК

ЗАКАТАННЫЙ В АСФАЛЬТ НЕ СКАЖЕТ БОЛЬШЕ НИЧЕГО ПЛОХОГО КРИТИК

СМОТРИ В ГЛАЗА - ТЫ ВСЁ ПОЙМЁШЬ ПО ЭТОЙ НАГЛОЙ И НЕБРИТОЙ МОРДЕ

ДАВАЙ С ТОБОЙ СЫГРАЕМ ЭТУ ПЕСНЮ НА ВСЕГО ОДНОМ АККОРДЕ"
"Резонанс, часть 2, 2014","Два плс один","Всё будет очень быстро и стихнет на раз и два

Камень уйдёт под воду, и скроет его вода

Время придёт - покажется камень из-под воды

Раньше я был один, а теперь у меня есть ты



Всё будет очень медленно, плавно на два и раз

Поезд идёт в столицу, и ты не смыкаешь глаз

Скоро перрон покажется, вымокший от дождя

Раньше была одна ты, теперь у тебя есть я



Всё будет как должно быть - всегда и везде, во всём

Вместе уйдём из города, вместе построим дом

Сбудутся все желания, сбудутся наши сны

Раньше нас было двое, теперь у нас есть сын

"
"Резонанс, часть 2, 2014","Полная луна","Ночью погасли фары

Выключен каждый звук

Ночью затихло всё вокруг

Остановились кадры

Остановились вдруг

В небе нарисовался круг



Ночью то смех, то слёзы

Ночью и смех и грех

Высохнут слёзы, стихнет смех

Ночью проснутся звёзды

Среди них как на грех

Только одна Луна на всех



Полная Луна



Сколько на свете песен

Сколько на свете книг

Сколько событий каждый миг

Мне этот мир стал тесен

Слышишь Луна мой крик

Слышишь Луна услышь мой крик



Полная Луна

Слышишь ты мой крик ?"
"Резонанс, часть 2, 2014","Танцуй!","Волна бежит на этот берег

Волна бежит и что-то бредит

И звёзды падают за ворот

И ковш на небе перевёрнут



И в голове смешались мысли

И босиком с бутылкой виски

Мы изучаем этот берег

Волна бежит и что-то бредит



Вокруг вода, песок и камни

Мы время меряем глотками

И всех вокруг как ветром сдуло

Нас как магнитом притянуло



Друг к другу, и теперь на берег

Волна бежит и что-то бредит

И звёзды падают за ворот

И ковш на небе перевёрнут



( Еще глоток, и мы горим

На раз-два-три

Потом не жди и не тоскуй

Гори огнем твой Третий Рим 

Лови мой ритм

Танцуй, танцуй. танцуй ! )



Мы странно оказались рядом

Приняв одну микстуру с ядом

Теперь мы принимаем виски 

И в голове смешались мысли 



Вокруг вода, песок и камни

И время меряя глотками

Мы изучаем этот берег

Волна бежит и что-то бредит



Хочу уснуть и не проснуться

Уйти в моря и не вернуться

Или вернуться, только вместе

С тобой, так много интересней



С тобой так много интересного

Вокруг, совсем не тесно 

Без площадей, вокзалов, станций

Без этих всех цивилизаций 



( Еще глоток, и мы горим

Глаза блестят, на раз-два-три

Лови воздушный поцелуй

Гори огнем твой Третий Рим 

Лови мой ритм, лови мой ритм

Танцуй, танцуй )



Танцуй ! Волна бежит на берег

Волна бежит и что-то бредит

Танцуй ! Звезда летит за ворот

И ковш на небе перевёрнут 



Танцуй ! В башке смешались мысли

Передавай бутылку виски

Передавай бутылку яда

Нам больше ничего не надо



Нам больше ничего не нужно

От виски кружит, кружит, кружит, кружит

С тобой мне больше здесь не тесно

И ковш на небе стал на место 



Передавай бутылку виски

И ты мои читаешь мысли

И звезды падают за ворот

И ковш на небе перевёрнут "
"Резонанс, часть 2, 2014","Симфония","Где-то

В подземных недрах

На краю света

Дрожит Земля

Бодро

Нота за нотой

Идут аккорды

Звучит симфония



Кто мы ?

Бушуют штормы

Грохочут громы

И молния

Ярко

С нотного знака

С вчера до завтра

Звучит симфония



Тише

Она всё выше 

Мы не услышим

Ни ты, ни я

Тихо

В неспешных ритмах

В финальных титрах

Звучит симфония

"
"Резонанс, часть 2, 2014","Нефть","Напомни мне припев

Той песни, что крутилась в голове

Той песни больше нет

И всюду льётся нефть



Напомни мне слова

Той песни, от которой кругом голова

Той песни больше нет

И всюду льётся нефть



Ставьте на тройку, ставь на туза и ставьте на цифру семь

Нефти не хватит, нефти не хватит, нефти не хватит всем

"
"Резонанс, часть 2, 2014","Пожар","Пуля летела прямо в лоб

Голову прятать было влом

Пуля людей бросает в жар

Люди вокруг кричат : ""Пожар !""



И в голове под вопли и визг

Вдруг возникают тысячи искр 

Крутится быстро огненный шар

И в голове возникает пожар



Пожар - это просто - раз, два, три

Пожар - это где-то там внутри

Пожар - это где-то там, где дым

Пожар - это где- то там, где ты



И в голове под вопли  и визг

Вдруг возникают тысячи  искр

Смотрят внимательно тысячи глаз

Скоро начнётся пожар - три, два, раз

Крутится быстро огненный шар

И в голове возникает пожар

"
"Резонанс, часть 2, 2014","Шахматы","На доске - король. Ни ферзя, ни пешек

Из похода всадник вернулся пешим 

Заглянул в свой дом, обалдел, опешил

Подождал, распахнул окно -

За окном на квадраты разбиты пашни

По краям разрушены обе башни

Тишина вокруг. Ни друзей, ни барышень

Вот такое тебе кино



И застыл король, как колонна в храме 

Как кувшин с букетом в оконной раме

Ни спросить у папы, ни поплакать маме

Сыро, холодно и ни зги

У деревьев снаружи застыла крона 

Не летит скворец, не мычит корова 

Недвижим король. Тяжела корона

Давит тяжестью на мозги



И стоит король ни живой ни мёртвый

Этот замок был вымазан прежде мёдом

Он всегда во все дни был забит народом

Он светился, гремел и выл

Здесь не спрашивали аусвайсы

Здесь лилось вино и звучали вальсы

Здесь теряли дамы головы, влюбляясь

Во всадников без головы



И король собирается тихо с духом

Бьётся пульс где-то там на виске над ухом

Он стоит над замёрзшей рекой с испугом

И боится ступить на лёд

Он не видит совсем берегов в тумане

Он застыл, как последняя капля в кране

И король, словно к возлюбленной своей крале

Тихо делает шаг вперёд



И тотчас в ответ на движение, глухо

Из глубин доски  началась движуха

От которой мрак, от которой жутко

От которой застынет взгляд

У короля совсем отлетела клемма

Он стоит, словно цапля, поджав колено

И, как корабль, давший смертельного крена

Тихо делает шаг назад



И горит король, как свеча из воска

И вокруг него закружилось войско

И в глазах темно, под ногами скользко

И летят миллиарды стрел

Так в дремучем лесу по лицу бьют ветки

Видны пешки, кони, ладьи сквозь веки

Боевые слоны, офицер контррразведки

Шаг вправо, шаг влево - попытка к бегству - расстрел



У короля мгновенно спутались карты

Его дворец превратился в карцер

Не сносить башки, не исправить кармы

В феврале не увидеть март

Королю по-всему наступает крышка

Ему шьют дело, ему светит вышка

Он скоро получит под самое дышло

И скоро услышит мат



После мата - тьма, тишина. забвение

Заметка в газете. Приговор приведён в исполнение

Вот справка о смерти, постановление

Суда и вот пуля в лоб.

Распишитесь вот здесь. Понимаем, потеря

Поднимайте его, задыхаясь, потея

Забирайте это королевское тело

И кладите его прямо в гроб



Ваш король во гробу будет тих и черен

Голова его превратится в череп

В нём не будет глаз, и отвиснет челюсть

Отовсюду сразу полезут черви

Отовсюду сразу полезут черти

Всё, пора уводить детей

Если финиш датирован днём вчерашним

Если замок пуст и погибла башня

Если жизни нет - умирать не страшно

Много будет ещё смертей



И король в феврале не дождался марта

Ему не хотелось ни шаха, ни мата

Он посмотрел на них и сказал : «Ребята !

Пока вы дохнете от тоски -

Ваши портреты давно превратились в шаржи

Это как с чужой королевой затеять шашни

Это не шахматы - это шашки""

Он перепрыгнул их, и ушёл с доски



И публика аплодировала ему всё дольше и дольше

И громко свистела, и била в ладоши

Кричала ему - какой ты хороший

И несла ему горы цветов

Он шёл, посылая всех к чёртовой матери

На ходу избавляясь от короны и мантии

И по слухам сейчас скрывается где-то на Мальте

Держа палец на кнопке часов

"
"Резонанс, часть 2, 2014","Исчезаем в темноте","Часы зависли

Выше всех

И обе стрелки

Смотрят вверх

Когда на город

Ляжет тень

Мы исчезаем

В темноте



Ни переходов

Ни ходов

Ни отпечатков

Ни следов

Для разговоров

Нет больше тем

Мы исчезаем 

В темноте

Мы исчезаем

В этой темноте



Никто не знает 

Наших нор

Никто не слышит

Наших нот

Никто не видит

Наших тел

Мы исчезаем

В темноте

Мы исчезаем

В этой темноте"
"Ключ к шифру, 2018","Медный грош","Это было так недавно и давно

Никому из нас и вспомнить не дано

Не осталось нам из прошлого имён

Это было в середине всех времён



Человек собрался в дальние края 

Медный грош один за пазухой храня

Веселилась и неслась его душа

Не осталось за душою ни гроша



Он вернулся из краёв к себе домой

Тёмной ночью и морозною зимой

А над домом столько звёзд увидел он

Словно медных грошей целый миллион

А над домом столько звёзд увидел он

Словно медных грошей целый миллион"
"Ключ к шифру, 2018","Пирамиды","И все умолкли голоса

И закрываются глаза

Все спят, и даже Солнце ночью тоже спит

Над нами кружит ангел наш

Нам всем мерещится мираж

Одни пески кругом и тень от пирамид



Укрыты с головы до пят

Все люди смотрят сны и спят

А где-то Солнце поднимается в зенит

Над нами кружит ангел наш

Нам всем мерещится мираж

Одни пески кругом и тень от пирамид"
"Ключ к шифру, 2018","Нам, мудрецам","Долго ли нам ещё 

Долго ли нам, скажи на милость

Долго ли нам ещё ? -

Долго ли нам ещё

Долго ли нам ещё -

Нам, мудрецам, такого и не снилось



Много ли нам ещё 

Много ли нам, скажи на милость

Много ли нам ещё ? -

Много ли нам ещё

Много ли нам ещё -

Нам, мудрецам, такого и не снилось



И все подсвечены дома

И все украшены деревья

И будут гости пить до дна

За всех за нас, за Новый год, за Рождество, за Воскресение

За то, что жизнь всего одна



Будет ли нам ещё 

Будет ли нам, скажи на милость

Будет ли нам ещё ? -

Будет ли нам ещё

Будет нам всем ещё -

Нам, мудрецам, такого и не снилось"
"Ключ к шифру, 2018","Храм","Пишу тебе из пасмурных краёв

Где дождь наполнил город до краёв

Водой, в которой всё отражено

И всё не превращается в вино



Пишу тебе из северных широт

Живая рыба здесь мертвее шпрот

Здесь лужи - треть вода и две - бензин

Здесь вечно не контачит карта сим



Пишу тебе из южных берегов

Где тесно на Олимпе от богов

Где пляжи опустели в октябре

Где всё напоминает о тебе



Пишу тебе из тех монастырей

В которых нет ни окон, ни дверей

Нет ничего, и честно говоря

Что нет и самого монастыря



Пишу тебе и глядя на закат

Как человек, отдавший жизнь за так

Смотрю, бросаясь в жар или в озноб

Как падает на землю небоскрёб



Пишу тебе поверх кирпичных стен

Пишу на новгородской бересте

Так пишут на обрывках, на клочках

Слепясь, что без очков и что в очках



Пишу тебе, что я лечу домой

Что скоро расставания долой

Пишу, покуда красный светофор

Пишу, пока не кончится айфон



Любые вещи превратятся в хлам

Никто не помнит, кто построил храм

Такая жизнь - не сахар и не шёлк

Здесь помнят лишь того, кто храм поджёг



Постскриптум. Я пишу тебе, пишу !

Привет тебе ! Тебе - и малышу !

Так долго строить храм и сжечь за миг

Лишь может тот, кто этот храм воздвиг

"
"Ключ к шифру, 2018","Окраины","Тебе, читающему эти строки

Прогуливающему уроки

Окончившему школу на тройки

Работающему на стройке

Отрабатывающему удары в боевой стойке

Насмотревшись Рокки

Ради девушки с курсов шитья и кройки

У которой койка в общежитии, 

и в комнате ещё три койки -

Новостройки



Мы не знаем, что жизнь приготовит нам завтра

Возможно, прекрасный дворец превратится в развалины

Мы идём от окраины к центру, чтобы вдохнуть красоты

И уйти на другие окраины



Тебе, внимающему этим звукам

Пока ты жрёшь свой бифштекс и картошку с луком

Запиваешь пивком и дымишь окурком

Тупишь в телевизор, где место одним придуркам

Смеющимся их идиотским шуткам

От которых на сердце тоска и скука

И во рту сухо, и в голове разруха

Ещё немного - и совсем тухло

Если лежать на диване вверх брюхом

Доверяя сплетням и слухам

Так и останешься - дуб дубом, бамбук бамбуком

Сейчас я тебе расскажу по пунктам -

Тебя покинет амур со стрелой и луком

Твоя невеста сбежит в день свадьбы, сука

С тем, кого ты считал своим лучшим другом

Ты слышал об этом лишь краем уха

И вот оно здесь - и дело глухо

Так что слова не можешь выговорить, даже по буквам

И без стука входят те, кто раньше входил только со стуком

Так что не ругай коня, волочась за плугом

Не ори на него - типа, давай, пошёл, ну ка

Налегай на плуг и дави всем брюхом

Не имея дома, не проникнешься его духом

Не имея жены, не услышишь, что она шепчет в ухо

Не имея детей, ничего не расскажешь внукам

Так что это пока не кровь, а  клюква 



Мы не знаем, что жизнь приготовит  нам завтра

Возможно, прекрасный дворец превратится в развалины

Мы идём от окраины к центру, чтобы вдохнуть красоты

И уйти на другие окраины



Тебе, смотрящему на всё глазами

Человека, которого только что заказали

Тебя забили и ощипали

Посолили, замариновали

На куски нарезали, на стол подали

Проглотили, но так и не разжевали

В-общем померкли в глазах все дали

Твоё место пустует в нашем зрительном зале

И от Казани и до Рязани

Больше не сыщешь той Юрюзани

В которой плов со вчера в казане

А здесь всё как всегда. Как в казарме

Зимой телега, а летом сани

Попутки нет. Доберёмся сами

Если будешь жив - выбирайся с нами

Встретимся дома, под образами

Извини, что пишу на обычной бумаге - за не-

Имением гербовой. Торг не уместен. Не на базаре. 



Мы не знаем, что жизнь приготовит нам завтра

Возможно, прекрасный дворец превратится в развалины

Мы идём от окраины к центру, чтобы вдохнуть красоты

И уйти на другие окраины

"
"Ключ к шифру, 2018","Кит","Осень была дождливой, полна тумана 

Кит приходил ночами из океана 

Мы познакомились, каждую ночь болтали 

Все это долго и тщетно держали в тайне 



Кит стал мне лучшим другом. Однажды утром

Люди пришли за ним с китобойным судном 

Я это видел с нашего с ним причала

Кит закричал и кита не стало"
"Ключ к шифру, 2018","Она была так прекрасна","Она была так прекрасна

Что у меня нет слов

Она как будто явилась

Из песен, из книг, из снов

Она сказала : Не смейте

На меня так смотреть

Ведь я не боюсь смерти

Потому что я и есть - смерть



И я так рассмеялся

Я сказал ей : Глядя на Вас

Мне хочется с Вами выпить 

И пригласить на вальс 

Она сказала : Не лезьте

Чтоб потом не жалеть

Ведь я не боюсь смерти

Потому что я и есть - смерть



Я не знал что и думать

Не сошла ли она с ума

Как так может случиться

Что есть она смерть сама

Она сказала : Не верьте

Глазам - в них начнёт темнеть

И я не боюсь смерти

Потому что я и есть - смерть



Меня бросило в холод

Тут же накрыв жарой

Я не мог и представить

Что смерть может быть живой

Она сказала : На свете

И не такое есть

И я не боюсь смерти

Потому что я и есть - смерть



И она развернулась

И медленно вышла вон

Лишь сказав на прощание :

До встречи, до лучших времён !

Ещё сказала : Не смейте

Обо мне здесь скорбеть

Ведь я не боюсь смерти

Потому что я и есть - смерть"
"Ключ к шифру, 2018","Джа играет джаз","Сегодня Джа играет джаз

И это наш последний шанс

Чтобы увидеть старика

Пока не скажет Джа : «Пока !»



Сегодня Джа играет джаз

А завтра Родину продаст

Хотя кому она нужна ? -

Об этом знает только Джа



Сегодня Джа играет джаз

И это наш последний шанс

Чтобы увидеть старика

Пока не скажет Джа : ""Пока !»"
"Ключ к шифру, 2018","Реквием","
Мама больше не позвонит. Я не жду звонка. 

Я сижу на корточках, как зека. 

Я курю косяк. У меня тоска. 



Мама больше не позвонит. Увы, это факт. 

У меня над домом приспущен флаг. 

Из всех слов остаются лишь блин и фак. 



Мама больше не позвонит. Впервые за столько лет

В моей трубке не раздастся её привет

Она больше не спросит, съел ли я свой обед. 



Она больше не скажет, что у неё всё ок

Только каблук надо бы посадить на клей

И что когда наконец мы приедем к ней



Она больше не спросит, как там моя семья

Часто ли видят меня мои сыновья

Она больше не скажет спокойной ночи, отходя ко сну

Она больше не будет украдкой плакать по моему отцу



Мама больше не позвонит. Темнеет в окне. 

Никогда мы больше не поедем к ней. 

Больше не будет дней рождения, новых годов, 

дней победы, парадов, салютов, криков ура. 

Мама больше не позвонит. Она умерла. 

"
"Ключ к шифру, 2018","Земля уходит из-под ног","Любая песня

Звучит как эпилог

Прощайте, стены

И пол, и потолок

Когда ты здесь - Земля уходит из-под ног



Когда сквозь тело

Идёт смертельный ток

Когда вся кожа

Один сплошной ожог

Когда ты здесь - Земля уходит из-под ног

Когда ты здесь со мной  - Земля уходит из-под ног

Когда ты здесь со мной  - Земля уходит из-под ног



Прощайте, стены

И пол, и потолок

Любая песня

Звучит как эпилог

Когда ты здесь - Земля уходит из-под ног

Когда ты здесь со мной  - Земля уходит из-под ног

Когда ты здесь со мной  - Земля уходит из-под ног"
"Ключ к шифру, 2018","Тревога","Тревога ! Подъём ! - Что случилось ? - Пока ничего, но мне что-то приснилось, а что - я не помню

Я помню, что это был сон, я куда-то бежал, я не помню куда и зачем этот бег

Как будто бы кто-то вломился в мой сон, и шептал, наклоняясь во тьме к моему изголовью

Как будто бы чьи-то шаги раздавались оттуда где явно не может пройти человек



Наш поезд давно никуда не идёт, это прямо под ним громыхая несётся дорога

Избавьте меня ради Бога от этого чувства которое мы называем тревога



Тревога ! Подъём ! - Что случилось ? - Пока ничего, но мне что-то приснилось, а что - я не знаю

Я знаю, что это был сон, я хотел рассказать, но теперь овершенно не помню о чём

Как будто сверкают одни зеркала - те, в которых я то появляюсь, а то исчезаю

И знаю, что каждый, кто видит себя в зеркалах, тот не знает о том, что уже не при чём 



Тревога ! Подъём ! - Что случилось ? - Пока ничего, но мне что-то приснилось, а что - я забуду

Я буду ходить целый день из угла в угол, буду ходить целый день из угла в угол и вспоминать

Повсюду разбросаны вещи, совсем на слова и на буквы рассыпались книги повсюду

Мне снилось, что кто-то идёт без зонта, босиком, под дождём, на ходу проклиная простуду

И время идёт, и дождь продолжает идти, и человек продолжает шагать"
"Ключ к шифру, 2018","Небесный хор","Давным-давно, с тех самых пор

С самих истоков мироздания

Здесь заплетаются в узор

Проспекты, улицы и здания

И с высоты небесный хор

Поёт нам на одном дыхании



Давным-давно, с тех самых пор

Здесь виден свет на расстоянии

Здесь заплетаются в узор

Проспекты, улицы и здания

И с высоты небесный хор

Поёт нам на одном дыхании



Давным-давно, с тех самых пор

С самих истоков мироздания

Здесь заплетаются в узор

Проспекты, улицы и здания

И с высоты небесный хор

Поёт нам на одном дыхании"
"Ключ к шифру, 2018","Путь на восток","Выбрали путь - и ни разу с пути не сбились

Знали, что путь будет долог, тернист, извилист

Знали и шли. Все как один. Молились



Переходя Урал, уходя восточней

Всё удаляясь вглубь от родимых вотчин

По дорогим пенатам скучая очень



Нет никакой Москвы, никакого Рима

Есть лишь одна тайга, и над ней - Ярило

Если Ярила нет, то тогда - могила



Тот, кто идёт в тайге, то гребец, то лыжник

Если идут гуртом - не бывает лишних

Жизнь научила всех не давить на ближних



Пили из рек, Ночевали в снегу, Держались

Возле костра, где дымилась добыча, жарясь 

Жизнь научила всех не давить на жалость



Если была беда - то держались гордо

Если была любовь - то любовь до гроба

Жизнь научила всех не давить на горло



Шли, поклоняясь берёзам, дубам и липам

След оставляя медведям, волкам и лисам

Часто во сне улыбаясь любимым лицам



Шли сквозь дремучий лес по камням, сугробам

Шли через перевал, по таёжным тропам

Если вдвоём сорвались - пропали оба



Но не сорвались. Всех удержали скалы

Кости все целы и уцелели скальпы

Чай, это вам Сибирь, а не то, что - Альпы"
"Ключ к шифру, 2018","День за днём","Всё происходит в тёмном городе зимой

Два человека возвращаются домой

Идут навстречу через падающий снег 

И он один, и никого нет рядом с ней

Они идут навстречу через этот мир

И взгляды их пересекутся через миг

И взгляды точно через миг пересеклись

И мир слегка качнулся вверх, качнувшись вниз



И всё смешалось в этих самых головах 

Ты не расскажешь это в красках и словах

Ты не расскажешь это в общем никому

Что иногда вот так всю жизнь глядишь во тьму

И вдруг во тьме вот так когда совсем не ждал

Вдруг отыскалась та, кого я так искал

Вдруг отозвался тот, кого ты так звала 

И нас уже не отражают зеркала



Всё ...

Тихо день за днём

Всё идёт путём



И будет отдых кораблю на якорях 

И будет Солнце в наших пасмурных краях

И будет вкусен хлеб и будет полон дом

И будет сладок дым и будет сладок ром

И вдруг во тьме вот так когда совсем не ждал 

Вдруг отыскалась та, кого я так искал

Вдруг отозвался тот, кого ты так звала 

И нас уже не отражают зеркала

Мы исчезаем в этом сумраке ночном

И не жалеем в общем больше ни о чём



Всё ...

Тихо день за днём

Всё идёт путём"
"Ключ к шифру, 2018","Череп и кости","Когда я один, я взываю к Богу

Говорю ему - как ты там, старина ?

Может, ты устал и тебе всё побоку

И настали чёрные времена ?



Когда я в толпе, я кричу ему - Господи !

Забери свой пряник и спрячь свой кнут

Мы столько лет стояли над краем пропасти -

Не пора ли нас всех столкнуть ?



Когда я в лесу, то я вою волком

Я мечусь и в меня поселился бес

Господи ! Я пропал, заблудился, я сгинул, во как !

Ты включи мне долбаный GPS



Проложи мне маршрут, в общем, сделай что-то

Чтобы выйти из леса и дом найти

Господи, позвони мне хоть раз на сотовый

Чтобы я убедился, что ты в сети



Когда я в воде, я подобен скату

Я свечусь электричеством, я не плыву, я лечу

Господи, положи мне денег на карту

Чтобы я улетел, куда захочу



Боже мой, я открою тебе все счета и сейфы

Извини, что они абсолютно пусты

Господи, а можно я сделаю с тобой селфи

Чтобы всех атеистов загнать в кусты ?



Господи, если будешь рядом, заходи в гости

Посидим, покурим, затрём за жизнь

И кстати завещаю тебе свои череп и кости -

Ведь больше они никому не нужны"
